Locus ID	Gene	Fold Change Expression (Burn vs. Succ.)	P	Fold Change  Expression (Chronic vs. Succ.)	P	KO	COG	COG Category
PA0903	alaS	0.24	0.0000002	0.15	2.6E-10	K01872	COG0013	Translation, ribosomal structure and biogenesis
PA0904	lysC	0.25	0.00000054	0.17	0.000000037	K00928	COG0527	Amino acid transport and metabolism
PA0905	rsmA	1.38	0.42	0.91	0.77	K03563	COG1551	Signal transduction mechanisms
PA0906	-	1.03	0.89	0.36	0.23	-	COG2932	Transcription
PA0907	-	4.39	0.000049	2.79	0.14	-	-	-
PA0908	-	1.88	0.15	0.27	0.53	-	-	-
PA0909	-	1.36	0.44	0.68	0.97	-	-	-
PA0910	-	3.12	0.036	3.41	0.47	-	-	-
PA0911	-	0.76	0.6	0.46	0.27	-	-	-
PA0912	-	3	0.26	4.61	0.3	-	-	-
PA0913	mgtE	0.52	0.028	0.34	0.0005	K06213	COG2239	Inorganic ion transport and metabolism
PA0914	-	0.57	0.27	0.59	1	-	-	-
PA0915	-	0.4	0.1	0.52	0.53	-	COG4807	Function unknown
PA0916	-	0.31	0.00031	0.19	0.00024	K14441	COG0621	Translation, ribosomal structure and biogenesis
PA0917	-	1.37	0.46	0.74	0.8	K03549	COG3158	Inorganic ion transport and metabolism
PA0918	-	22.16	3.4E-12	32.97	6.2E-09	K12262	COG3038	Energy production and conversion
PA0919	-	2.24	0.0055	1.23	0.78	-	COG3946	Intracellular trafficking and secretion
PA0920	-	0.97	0.98	1.66	0.48	K14205	COG2898	Function unknown
PA0921	-	0.3	0.0053	0.4	0.62	-	-	-
PA0922	-	1.26	0.39	0.46	0.18	-	-	-
PA0923	dinB	0.88	0.84	0.65	0.66	K02346	COG0389	DNA replication, recombination, and repair
PA0924	-	0.58	0.43	2.35	0.51	K07014	COG3083	General function prediction only
PA0925	-	0.21	0.00034	0.17	0.063	K03668	COG3187	Posttranslational modification, protein turnover, chaperones
PA0926	-	1.05	0.81	1.58	0.37	-	-	-
PA0927	ldhA	0.73	0.45	0.41	0.51	K03778	COG1052	Energy production and conversion / Coenzyme metabolism / General function prediction only
PA0928	gacS	0.89	0.77	0.56	0.45	K07678	COG0642	Signal transduction mechanisms
PA0929	-	1.78	0.27	2	0.42	-	COG0745	Signal transduction mechanisms / Transcription
PA0930	-	1.37	0.4	1.06	0.84	-	COG0642	Signal transduction mechanisms
PA0931	pirA	3.38	0.0012	3.05	0.098	K16089	COG4771	Inorganic ion transport and metabolism
PA0932	cysM	0.39	0.0024	0.2	0.00069	K12339	COG0031	Amino acid transport and metabolism
PA0933	ygcA	0.48	0.0065	0.35	0.002	K03215	COG2265	Translation, ribosomal structure and biogenesis
PA0934	relA	0.43	0.0019	0.27	0.000031	K00951	COG0317	Signal transduction mechanisms / Transcription
PA0935	-	0.57	0.19	0.52	0.37	K04765	COG3956	General function prediction only
PA0936	-	0.89	0.68	0.63	0.2	K12979	COG3555	Posttranslational modification, protein turnover, chaperones
PA0937	-	0.33	0.00025	0.2	0.000057	K09912	COG3122	Function unknown
PA0938	-	0.3	0.0000059	0.22	0.0000056	-	COG3765	Cell envelope biogenesis, outer membrane
PA0939	-	1.53	0.48	4.83	0.56	-	COG4568	Transcription
PA0940	-	1.53	0.6	7.13	0.7	-	-	-
PA0941	-	2.34	0.13	2.35	0.62	-	-	-
PA0942	-	3.41	0.000033	2.46	0.36	-	COG1846	Transcription
PA0943	-	0.52	0.034	0.58	0.24	-	-	-
PA0944	purN	0.53	0.024	0.35	0.019	K11175	COG0299	Nucleotide transport and metabolism
PA0945	purM	0.32	0.00015	0.14	0.0000063	K01933	COG0150	Nucleotide transport and metabolism
PA0946	-	0.35	0.0032	0.39	0.14	K09938	COG3249	Function unknown
PA0947	-	0.41	0.02	0.18	0.0015	K10763	COG0593	DNA replication, recombination, and repair
PA0948	-	0.22	0.00039	0.09	0.0033	-	COG3308	Function unknown
PA0949	wrbA	0.33	0.0028	0.22	0.014	K03809	COG0655	General function prediction only
PA0950	-	0.68	0.32	0.52	0.55	K00537	COG1393	Inorganic ion transport and metabolism
PA0951	-	0.55	0.073	0.64	0.6	K07058	COG1295	Replication, recombination, and repair
PA0952	-	44.18	0.000000018	15.06	0.000003	-	-	-
PA0953	-	0.72	0.33	0.3	0.063	-	COG0526	Posttranslational modification, protein turnover, chaperones / Energy production and conversion
PA0954	-	1.39	0.44	1.3	1	K01512	COG1254	Energy production and conversion
PA0955	-	0.25	0.0000024	0.23	0.0011	-	-	-
PA0956	proS	0.29	0.000014	0.15	0.000000032	K01881	COG0442	Translation, ribosomal structure and biogenesis
PA0957	-	0.85	0.82	0.89	1	-	COG2050	Secondary metabolites biosynthesis,    transport, and catabolism
PA0958	oprD	0.3	0.0000034	0.1	3.2E-16	-	-	-
PA0959	-	2.51	0.0011	1.35	0.68	-	COG0537	Nucleotide transport and metabolism / Carbohydrate transport and metabolism / General function prediction only
PA0960	-	1.39	0.49	0.48	0.55	K03745	COG2900	Function unknown
PA0961	-	0.29	0.0029	0.27	0.26	K03704	COG1278	Transcription
PA0962	-	2.04	0.011	0.77	0.67	K04047	COG0783	Inorganic ion transport and metabolism
PA0963	aspS	0.28	0.000014	0.2	0.000000056	K01876	COG0173	Translation, ribosomal structure and biogenesis
PA0964	pmpR	0.18	6.3E-10	0.12	1.2E-11	-	COG0217	Function unknown
PA0965	ruvC	0.2	0.00000079	0.08	0.000012	K01159	COG0817	DNA replication, recombination, and repair
PA0966	ruvA	0.37	0.00096	0.16	0.00012	K03550	COG0632	DNA replication, recombination, and repair
PA0967	ruvB	0.47	0.007	0.22	0.0002	K03551	COG2255	DNA replication, recombination, and repair
PA0968	-	0.62	0.1	0.3	0.0033	K01075	COG0824	General function prediction only
PA0969	tolQ	1.07	0.95	0.4	0.034	K03562	COG0811	Intracellular trafficking and secretion
PA0970	tolR	0.46	0.0091	0.25	0.00092	K03560	COG0848	Intracellular trafficking and secretion
PA0971	tolA	0.49	0.0073	0.26	0.000094	K03646	COG0810	Cell envelope biogenesis, outer membrane
PA0972	tolB	0.34	0.000066	0.19	0.00000011	K03641	COG0823	Intracellular trafficking and secretion
PA0973	oprL	0.34	0.000025	0.14	3.2E-12	K03640	COG2885	Cell envelope biogenesis, outer membrane
PA0974	-	0.63	0.096	0.32	0.0042	-	COG1729	Function unknown
PA0975	-	0.79	0.42	0.36	0.11	K10026	COG0602	Posttranslational modification, protein turnover, chaperones
PA0976	-	1.97	0.11	2.76	0.17	K06920	COG0603	General function prediction only
PA0977	-	1.24	0.84	1.23	0.65	-	-	-
PA0978	-	1.04	0.98	0.78	1	K07497	COG2801	DNA replication, recombination, and repair
PA0979	-	1.95	0.31	2.59	0.91	K07483	COG2963	DNA replication, recombination, and repair
PA0980	-	3.51	0.014	2.98	0.55	-	-	-
PA0981	-	2.36	0.025	1.75	0.67	-	-	-
PA0982	-	1.02	0.78	0.23	0.0039	-	COG1651	Posttranslational modification, protein turnover, chaperones
PA0983	-	3.17	0.0032	1.57	1	K07483	COG2963	DNA replication, recombination, and repair
PA0984	-	1.11	0.74	0.69	0.5	-	-	-
PA0985	-	2.32	0.011	0.52	0.13	-	-	-
PA0986	-	1.27	0.71	0.77	1	K07497	-	-
PA0987	-	1.5	0.27	0.51	0.96	K07497	COG2801	DNA replication, recombination, and repair
PA0988	-	0.43	0.0089	0.21	0.0024	K07107	COG0824	General function prediction only
PA0989	-	0.39	0.035	0.3	0.35	-	-	-
PA0990	-	3.13	0.034	4.81	0.17	-	COG1051	Nucleotide transport and metabolism
PA0991	-	0.94	0.74	0.22	0.32	-	COG2198	Signal transduction mechanisms
PA0992	-	1.1	0.98	0.7	1	-	COG3539	Cell motility and secretion / Intracellular trafficking and secretion
PA0993	-	7.25	0.0000015	6.57	0.17	-	COG3121	Cell motility and secretion / Intracellular trafficking and secretion
PA0994	-	2.31	0.011	9.98	0.62	K07347	COG3188	Cell motility and secretion / Intracellular trafficking and secretion
PA0995	-	0.75	0.39	1.05	0.95	K00567	COG0350	DNA replication, recombination, and repair
PA0996	pqsA	61.4	0.015	8.82	0.32	-	COG0365	Lipid metabolism
PA0997	pqsB	62.94	0.088	8.25	0.15	-	COG0332	acyl-carrier-protein
PA0998	pqsC	22.5	0.085	5.58	0.23	-	COG0332	acyl-carrier-protein
PA0999	pqsD	15.36	0.2	4.76	0.26	K00648	COG0332	acyl-carrier-protein
PA1000	pqsE	10.1	0.14	5.24	0.42	-	COG0491	General function prediction only
PA1001	phnA	10.3	0.13	3.48	0.21	K01657	COG0147	Amino acid transport and metabolism / Coenzyme metabolism
PA1002	phnB	9.5	0.21	4.3	0.52	K01658	COG0512	Amino acid transport and metabolism / Coenzyme metabolism
PA1003	mvfR	1.77	0.21	0.97	1	-	COG0583	Transcription
PA1004	nadA	1.04	0.66	1.13	0.91	K03517	COG0379	Coenzyme metabolism
PA1005	-	0.44	0.014	0.37	0.13	-	COG4783	General function prediction only
PA1006	-	0.38	0.015	0.27	0.081	-	COG0425	Posttranslational modification, protein turnover, chaperones
PA1007	-	0.3	0.000048	0.16	0.000032	K03548	COG0628	General function prediction only
PA1008	-	0.15	1.3E-10	0.16	0.00000014	K03564	COG1225	Posttranslational modification, protein turnover, chaperones
PA1009	-	0.52	0.073	3.01	0.025	K03567	COG2716	Amino acid transport and metabolism
PA1010	dapA	0.37	0.00072	0.21	0.0000083	K01714	COG0329	Amino acid transport and metabolism / Cell envelope biogenesis, outer membrane
PA1011	-	0.22	0.00000012	0.16	0.000000042	K07287	COG3317	Cell envelope biogenesis, outer membrane
PA1012	-	0.28	0.0000009	0.16	0.0000007	-	COG1235	General function prediction only
PA1013	purC	0.2	7.9E-10	0.11	1.7E-12	K01923	COG0152	Nucleotide transport and metabolism
PA1014	-	0.37	0.0021	0.35	0.019	-	COG1215	Cell envelope biogenesis, outer membrane
PA1015	-	3.15	0.013	9.46	0.00047	-	COG1414	Transcription
PA1016	-	0.62	0.45	2.01	0.43	-	COG0183	Lipid metabolism
PA1017	pauA	1.85	0.2	2.34	0.22	-	COG1042	Energy production and conversion
PA1018	-	0.77	0.98	1.02	0.64	-	COG2030	Lipid metabolism
PA1019	mucK	0.85	0.93	3.53	0.27	K08196	COG2814	Carbohydrate transport and metabolism
PA1020	-	0.83	1	1.66	0.69	-	COG1960	Lipid metabolism
PA1021	-	1.56	0.49	3.73	0.46	-	COG1024	Lipid metabolism
PA1022	-	0.74	0.62	1.23	0.57	K00257	COG1960	Lipid metabolism
PA1023	-	0.46	0.11	0.76	1	-	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA1024	-	0.51	0.66	0.81	1	K00459	COG2070	General function prediction only
PA1025	-	0.66	0.73	0.64	1	-	-	-
PA1026	-	6.13	0.014	11.55	0.000000006	-	-	-
PA1027	-	10.09	4.2E-13	5.6	0.052	K00128	COG1012	Energy production and conversion
PA1028	-	1.59	0.37	2.43	0.44	-	COG0665	Amino acid transport and metabolism
PA1029	-	4.43	0.0000089	3.24	0.22	-	-	-
PA1030	-	2.78	0.021	1.64	0.62	-	-	-
PA1030.1	-	3.75	0.013	0.93	0.97	-	-	-
PA1031	-	0.51	0.057	0.26	0.0074	K09760	COG1322	General function prediction only
PA1032	quiP	0.65	0.083	0.65	0.37	K07116	COG2366	General function prediction only
PA1033	-	1.21	0.88	2.77	0.13	K00799	COG0625	Posttranslational modification, protein turnover, chaperones
PA1034	-	1.75	0.17	0.98	0.97	-	COG0653	Intracellular trafficking and secretion
PA1035	-	1.02	0.98	0.43	0.3	-	COG5608	Defense mechanisms
PA1036	-	2.44	0.0092	1.94	0.59	-	-	-
PA1037	-	0.49	0.1	0.23	0.16	-	COG2860	Function unknown
PA1038	-	0.86	0.8	0.86	1	-	-	-
PA1039	-	0.43	0.11	0.2	0.57	K09858	COG3012	Function unknown
PA1040	-	1.52	0.43	0.75	0.8	-	-	-
PA1041	-	12.82	0.0065	3.96	0.57	-	COG2885	Cell envelope biogenesis, outer membrane
PA1042	-	0.71	0.42	0.43	0.39	K08993	COG3776	Function unknown
PA1043	-	1.7	0.25	1.73	0.71	-	-	-
PA1044	-	0.84	0.64	0.68	1	-	COG5615	Function unknown
PA1045	-	0.37	0.0016	0.42	0.26	K03722	COG1199	Transcription / DNA replication, recombination, and repair
PA1046	-	0.39	0.0021	0.37	0.067	-	-	-
PA1047	-	0.26	0.000025	0.2	0.0051	-	COG1680	Defense mechanisms
PA1048	-	0.99	0.91	0.84	1	-	COG2885	Cell envelope biogenesis, outer membrane
PA1049	pdxH	0.88	0.59	0.65	0.63	K00275	COG0259	Coenzyme metabolism
PA1050	-	0.79	0.35	0.74	0.7	K02647	COG3835	Transcription / Signal transduction mechanisms
PA1051	-	3.65	0.00016	4.65	0.042	K03299	COG2610	Carbohydrate transport and metabolism / Amino acid transport and metabolism
PA1052	-	2.36	0.025	3.67	0.26	K00865	COG1929	Carbohydrate transport and metabolism
PA1053	-	1.34	0.39	0.86	0.92	K06077	COG3133	Cell envelope biogenesis, outer membrane
PA1054	-	0.75	0.4	0.5	0.041	K05559	COG1009	Energy production and conversion / Inorganic ion transport and metabolism
PA1055	-	0.59	0.39	0.49	0.94	K05560	COG1006	Inorganic ion transport and metabolism
PA1056	-	0.71	0.49	0.83	0.87	K05561	COG0651	Energy production and conversion / Inorganic ion transport and metabolism
PA1057	-	0.32	0.00063	0.72	0.51	K05562	COG1863	Inorganic ion transport and metabolism
PA1058	-	0.35	0.12	0.47	0.74	K05563	COG2212	Inorganic ion transport and metabolism
PA1059	-	0.56	0.21	0.55	0.49	K05564	COG1320	Inorganic ion transport and metabolism
PA1060	-	0.65	0.14	0.39	0.13	-	COG0697	Carbohydrate transport and metabolism / Amino acid transport and metabolism / General function prediction only
PA1061	-	0.62	0.26	0.57	0.62	K01738	COG0031	Amino acid transport and metabolism
PA1062	-	0.39	0.037	0.17	0.32	-	-	-
PA1063	-	0.44	0.14	0.07	0.26	-	-	-
PA1064	-	0.43	0.024	0.31	0.12	K08985	COG3650	Function unknown
PA1065	-	1.9	0.49	1.41	0.68	-	COG3189	Function unknown
PA1066	-	1.6	0.22	1.52	0.72	-	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA1067	-	0.82	0.9	1.46	0.73	-	COG0583	Transcription
PA1068	-	0.53	0.032	0.37	0.025	K04079	COG0326	Posttranslational modification, protein turnover, chaperones
PA1069	-	0.45	0.0029	0.29	0.0016	-	-	-
PA1070	braG	0.42	0.0064	0.21	0.0049	K01996	COG0410	Amino acid transport and metabolism
PA1071	braF	0.2	0.00022	0.06	0.0095	K01995	COG0411	Amino acid transport and metabolism
PA1072	braE	0.26	0.000076	0.16	0.0039	K01998	COG4177	Amino acid transport and metabolism
PA1073	braD	0.92	0.93	0.49	0.19	K01997	COG0559	Amino acid transport and metabolism
PA1074	braC	0.59	0.068	0.31	0.0015	K01999	COG0683	Amino acid transport and metabolism
PA1075	-	0.76	0.41	0.69	0.47	-	COG5626	Function unknown
PA1076	-	1.09	0.9	0.44	0.049	-	-	-
PA1077	flgB	0.72	0.47	0.21	0.16	K02387	COG1815	Cell motility and secretion
PA1078	flgC	0.36	0.0087	0.65	0.49	K02388	COG1558	Cell motility and secretion
PA1079	flgD	0.37	0.0012	0.25	0.0025	K02389	COG1843	Cell motility and secretion
PA1080	flgE	0.48	0.015	0.33	0.0069	K02390	COG1749	Cell motility and secretion
PA1081	flgF	0.52	0.011	0.09	0.0000013	K02391	COG4787	Cell motility and secretion
PA1082	flgG	0.42	0.0025	0.25	0.00051	K02392	COG4786	Cell motility and secretion
PA1083	flgH	0.42	0.0071	0.32	0.11	K02393	COG2063	Cell motility and secretion
PA1084	flgI	0.64	0.15	0.41	0.35	K02394	COG1706	Cell motility and secretion
PA1085	flgJ	0.63	0.19	0.4	0.24	K02395	COG1705	Cell motility and secretion / Intracellular trafficking and secretion
PA1086	flgK	0.46	0.0098	0.28	0.015	K02396	COG1256	Cell motility and secretion
PA1087	flgL	0.66	0.19	0.46	0.04	K02397	COG1344	Cell motility and secretion
PA1088	-	0.54	0.028	0.2	0.0007	-	COG4106	General function prediction only
PA1089	-	0.42	0.0035	0.2	0.0023	-	COG0560	Amino acid transport and metabolism
PA1090	-	0.39	0.0048	0.24	0.088	K07281	COG1213	Cell envelope biogenesis, outer membrane
PA1091	fgtA	0.49	0.0086	0.5	0.16	-	COG1887	Cell envelope biogenesis, outer membrane
PA1092	fliC	1.1	1	0.38	0.00057	K02406	COG1344	Cell motility and secretion
PA1093	-	0.75	0.23	0.35	0.0074	K06603	COG1334	Cell motility and secretion
PA1094	fliD	0.85	0.45	0.3	0.000049	K02407	COG1345	Cell motility and secretion
PA1095	-	1.86	0.042	0.41	0.0043	K02422	COG1516	Cell motility and secretion / Intracellular trafficking and secretion / Posttranslational modification, protein turnover, chaperones
PA1096	-	0.81	0.39	0.75	0.51	-	-	-
PA1097	fleQ	0.57	0.053	0.27	0.00003	K10941	COG2204	Signal transduction mechanisms
PA1098	fleS	0.85	0.8	0.57	0.38	K10942	COG0642	Signal transduction mechanisms
PA1099	fleR	0.69	0.42	0.98	0.99	K10943	COG2204	Signal transduction mechanisms
PA1100	fliE	0.55	0.073	2.12	0.39	K02408	COG1677	Cell motility and secretion / Intracellular trafficking and secretion
PA1101	fliF	0.81	0.63	0.53	0.2	K02409	COG1766	Cell motility and secretion
PA1102	fliG	0.7	0.29	0.57	0.29	K02410	COG1536	Cell motility and secretion
PA1103	-	0.72	0.27	0.41	0.19	K02411	COG1317	Cell motility and secretion / Intracellular trafficking and secretion
PA1104	fliI	0.54	0.068	0.44	0.12	K02412	COG1157	Cell motility and secretion / Intracellular trafficking and secretion
PA1105	fliJ	0.45	0.18	1.58	0.66	K02413	COG2882	Cell motility and secretion / Intracellular trafficking and secretion / Posttranslational modification, protein turnover, chaperones
PA1106	-	1.97	0.17	5.4	0.092	-	-	-
PA1107	-	1.07	0.89	0.79	0.94	-	COG2199	Signal    transduction mechanisms
PA1108	-	39.66	0.0000026	90.2	0.00033	-	-	-
PA1109	-	1.06	0.97	1.18	0.96	-	COG2207	Transcription
PA1110	-	0.57	0.31	0.52	1	K06182	COG1187	Translation, ribosomal structure and biogenesis
PA1111	-	11.35	0.000026	31.47	0.27	-	-	-
PA1112	-	4.48	0.0001	4.38	0.14	-	COG2133	Carbohydrate transport and metabolism
PA1112.1	-	0.77	0.34	0.29	0.013	-	-	-
PA1113	-	0.73	0.67	1.37	0.86	K06147	COG1132	Defense mechanisms
PA1114	-	1.15	0.93	0.71	0.77	-	COG4461	Function unknown
PA1115	-	2.37	0.019	2.73	0.032	-	COG1368	Cell envelope biogenesis, outer membrane
PA1116	-	0.48	0.072	0.24	0.049	K00243	COG2996	General function prediction only
PA1117	-	1.42	0.31	1.34	0.83	-	-	-
PA1118	-	3.34	0.00022	2.85	0.54	-	-	-
PA1119	yfiB	1.93	0.39	2.83	0.28	-	COG2885	Cell envelope biogenesis, outer membrane
PA1120	tpbB	0.56	0.16	0.53	0.51	-	COG2199	Signal    transduction mechanisms
PA1121	yfiR	0.62	0.12	0.16	0.065	-	-	-
PA1122	-	1.31	0.58	0.47	0.92	K01462	COG0242	Translation, ribosomal structure and biogenesis
PA1123	-	2.77	0.0037	2.01	0.25	-	-	-
PA1124	-	0.87	0.68	2.36	0.11	K01129	COG0232	Nucleotide transport and metabolism
PA1125	-	0.79	0.64	1.17	0.71	K12410	COG0846	Transcription
PA1126	-	0.57	0.077	0.57	0.17	-	-	-
PA1127	-	0.35	0.01	1.13	1	-	COG0667	Energy production and conversion
PA1128	-	0.45	0.14	0.47	0.43	-	COG0583	Transcription
PA1129	-	1.23	0.67	1.79	0.98	-	COG0346	Amino acid transport and metabolism
PA1130	rhlC	3.85	0.01	0.77	0.89	K12990	COG1216	General function prediction only
PA1131	-	19.46	0.0001	11.57	0.46	K08151	-	-
PA1132	-	0.29	0.0052	0.66	0.63	-	-	-
PA1133	-	1.25	0.84	0.52	1	-	-	-
PA1134	-	5.46	0.0017	18.77	0.0000051	-	COG3011	General function    prediction only
PA1135	-	6.31	0.00031	15.53	0.37	K05523	COG0693	General function prediction only
PA1136	-	1.07	0.88	0.95	1	-	COG2771	Transcription
PA1137	-	4.66	0.013	20.65	0.0031	-	COG0604	Energy production and conversion / General function prediction only
PA1138	-	1.88	0.17	2.23	0.51	-	COG0583	Transcription
PA1139	-	1.01	0.91	1.24	0.79	-	COG2340	Function unknown
PA1140	-	0.57	0.15	0.47	0.64	K14977	COG3257	General function prediction only
PA1141	-	1.38	0.44	18.21	9.7E-12	-	COG0583	Transcription
PA1142	-	0.45	0.36	0.63	0.94	-	COG2188	Transcription
PA1143	-	2.15	0.53	8.78	0.32	-	COG0560	Amino acid transport and metabolism
PA1144	-	2.2	0.32	5	0.54	-	COG2271	Carbohydrate transport and metabolism
PA1145	-	30.17	0.042	4398.81	2.2E-138	-	COG0583	Transcription
PA1146	-	2.03	0.35	15.56	0.014	K00100	COG1454	Energy production and conversion
PA1147	-	1.73	0.26	3.45	0.17	-	COG0531	Amino acid transport and metabolism
PA1148	toxA	6.94	0.00000017	3.94	0.12	K11020	-	-
PA1149	-	3.49	0.34	4.08	0.64	-	COG4893	Function unknown
PA1150	pys2	1.72	0.056	0.34	0.00093	-	-	-
PA1151	imm2	0.55	0.076	0.38	0.033	-	-	-
PA1152	-	1.28	0.7	0.93	1	-	-	-
PA1153	-	53.7	0.00000027	115.81	0.047	-	COG3617	Transcription
PA1154	-	1.62	0.55	7.24	0.32	K07491	COG1943	DNA replication, recombination, and repair
PA1155	nrdB	0.65	0.23	0.29	0.000043	K00526	COG0208	Nucleotide transport and metabolism
PA1156	nrdA	0.41	0.0021	0.24	0.000022	K00525	COG0209	Nucleotide transport and metabolism
PA1157	-	0.39	0.029	0.42	0.24	K07661	COG0745	Signal transduction mechanisms / Transcription
PA1158	-	0.44	0.12	1.16	0.92	K07639	COG0642	Signal transduction mechanisms
PA1159	-	0.25	0.00000048	0.21	0.0000017	K03704	COG1278	Transcription
PA1160	-	0.51	0.13	0.22	0.19	-	-	-
PA1161	rrmA	0.48	0.1	0.78	0.88	K00563	-	-
PA1162	dapE	0.43	0.023	0.29	0.06	K01439	COG0624	Amino acid transport and metabolism
PA1163	ndvB	1.21	0.58	1.19	0.93	-	COG5309	Carbohydrate transport and metabolism
PA1164	-	0.49	0.092	0.43	0.22	-	COG1179	Coenzyme metabolism
PA1165	pcpS	0.58	0.41	0.49	0.63	K02362	COG2977	Secondary metabolites biosynthesis, transport, and catabolism
PA1166	-	6.02	0.009	6.51	0.17	-	COG0412	Secondary metabolites biosynthesis, transport, and catabolism
PA1167	-	6.3	0.000022	14.96	0.00019	-	-	-
PA1168	-	1.64	0.93	2.48	0.93	-	-	-
PA1169	-	3.79	0.00082	4.71	0.044	-	-	-
PA1170	-	0.42	0.029	0.34	0.15	-	COG0861	Inorganic ion transport and metabolism
PA1171	-	0.66	0.49	1.31	0.85	-	COG2951	Cell envelope biogenesis, outer membrane
PA1172	napC	17.86	0.0031	2.87	0.39	K02569	COG3005	Energy production and conversion
PA1173	napB	16.3	0.0000042	10.42	0.11	K02568	COG3043	Energy production and conversion
PA1174	napA	14.22	1.3E-17	7.88	0.000098	K02567	COG0243	Energy production and conversion
PA1175	napD	10.4	0.0000034	3.05	0.53	K02570	COG3062	Inorganic ion transport and metabolism
PA1176	napF	75.2	3.4E-32	88.18	0.001	K02572	COG1148	Energy production and conversion
PA1177	napE	19.97	0.0016	2.96	0.65	K02571	COG4459	Energy production and conversion
PA1178	oprH	0.14	5.4E-11	2.27	0.16	-	-	-
PA1179	phoP	0.1	1.5E-12	0.27	0.041	K07660	COG0745	Signal transduction mechanisms / Transcription
PA1180	phoQ	0.27	0.000017	0.64	0.53	K07637	COG0642	Signal transduction mechanisms
PA1181	-	0.87	0.62	0.44	0.076	-	COG3447	Signal transduction mechanisms
PA1182	-	0.54	0.57	1.77	0.83	-	COG2207	Transcription
PA1183	dctA	0.09	2.6E-15	0.09	1E-11	K11103	COG1301	Energy production and conversion
PA1184	-	1.01	0.84	3.1	0.16	K03566	COG0583	Transcription
PA1185	-	1.31	0.75	0.24	1	-	COG0625	Posttranslational modification, protein turnover, chaperones
PA1186	-	2.23	0.36	15.59	0.0011	-	COG2141	Energy production and conversion
PA1187	-	2.76	0.11	1.27	0.71	K00249	COG1960	Lipid metabolism
PA1188	-	0.86	0.78	1.12	0.77	-	COG1804	Energy production and conversion
PA1189	-	3.75	0.077	6.11	0.53	K02742	COG3091	General function prediction only
PA1190	-	3.11	0.0071	4.12	0.2	-	-	-
PA1191	-	2.67	0.049	1.34	0.7	-	-	-
PA1192	-	0.28	0.000015	0.26	0.00024	K14058	COG0037	Cell cycle control, cell division, chromosome partitioning
PA1193	-	0.29	0.00036	0.25	0.024	-	COG2818	DNA replication, recombination, and repair
PA1194	-	147.27	0.000016	20.14	0.0000032	K03758	COG0531	Amino acid transport and metabolism
PA1195	-	324.97	0.000000045	68.92	0.000000018	K01482	COG1834	Amino acid transport and metabolism
PA1196	-	0.27	0.16	0.35	0.37	K06714	COG3829	Transcription / Signal transduction mechanisms
PA1197	-	0.32	0.17	0.39	0.61	K12410	COG0846	Transcription
PA1198	-	1.46	0.24	0.59	0.24	-	COG0791	Cell envelope biogenesis, outer membrane
PA1199	-	0.8	0.35	0.45	0.2	-	COG0791	Cell envelope biogenesis, outer membrane
PA1200	-	0.64	0.28	0.53	0.4	K00599	COG4122	General function prediction only
PA1201	-	1.28	0.75	0.75	1	-	COG0583	Transcription
PA1202	-	2.27	0.083	3.63	0.79	-	COG1335	Secondary metabolites biosynthesis, transport, and catabolism
PA1203	-	1.93	0.3	6.2	0.2	K07397	COG1765	Posttranslational modification, protein turnover, chaperones
PA1204	-	1.13	0.74	1.3	1	-	COG0431	General function prediction only
PA1205	-	1.94	0.052	79.61	2E-17	K06911	COG1741	General function prediction only
PA1206	-	0.65	0.16	0.35	0.26	-	-	-
PA1207	kefB	0.45	0.029	0.46	0.2	K11747	COG0475	Inorganic ion transport and metabolism
PA1208	-	1.06	0.96	0.91	0.8	-	COG2072	Inorganic ion transport and metabolism
PA1209	-	7.59	2.1E-10	2.32	0.27	-	COG0586	Function unknown
PA1210	-	2.69	0.11	8.61	0.04	K06911	COG1741	General function prediction only
PA1211	-	1.5	0.88	4.57	0.62	-	COG0596	General function prediction only
PA1212	-	1.99	0.87	8.16	0.18	-	-	-
PA1213	-	1.58	0.55	85.28	6.6E-15	-	-	-
PA1214	-	3.26	0.16	7.04	0.23	-	COG0367	Amino acid transport and metabolism
PA1215	-	24.15	0.000011	64.28	3.5E-16	-	COG0318	Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA1216	-	4.74	0.32	14.74	0.099	-	COG4106	General function prediction only
PA1217	-	2	0.35	3.28	0.48	K01649	COG0119	Amino acid transport and metabolism
PA1218	-	3.04	0.093	4.58	0.36	-	COG5285	Secondary metabolites biosynthesis, transport, and catabolism
PA1219	-	55.66	0.00000001	103.9	0.28	-	-	-
PA1220	-	5.26	0.079	23.06	0.024	-	-	-
PA1221	-	8.3	0.000042	15.58	0.0051	-	COG1020	Secondary metabolites biosynthesis, transport, and catabolism
PA1222	-	0.66	0.31	1.95	0.55	K08304	COG2821	Cell envelope biogenesis, outer membrane
PA1223	-	1.63	0.18	0.98	0.75	-	COG0583	Transcription
PA1224	-	0.43	0.47	1.16	1	K00355	COG2249	General function prediction only
PA1225	-	0.89	0.98	2.11	0.62	K00355	COG2249	General function prediction only
PA1226	-	1.01	0.73	0.43	0.64	-	-	-
PA1227	-	1.03	0.74	1.37	0.7	-	-	-
PA1228	-	0.24	0.011	0.31	0.57	-	-	-
