LocusId	TranscriptId	GeneName	FoldChange_Burn	Pvalue_Burn	KO_Id	COG_Id	COG_Category
PA3327	AAG06715	-	22.79	3.4E-16	-	COG1020	Secondary metabolites biosynthesis, transport, and catabolism
PA3328	AAG06716	-	26.77	0.00005	-	COG0654	Coenzyme metabolism / Energy production and conversion
PA3329	AAG06717	-	32.23	0.00021	-	-	-
PA3330	AAG06718	-	72.27	0.00094	-	COG1028	Secondary metabolites biosynthesis, transport, and catabolism / General function prediction only
PA3331	AAG06719	-	10.49	0.0036	K00517	COG2124	Secondary metabolites biosynthesis, transport, and catabolism
PA3332	AAG06720	-	92.36	2.9E-16	K06893	COG3631	General function prediction only
PA3334	AAG06722	-	17.83	2.1E-09	K02078	-	-
PA3335	AAG06723	-	17.86	0.000000046	-	-	-
PA3336	AAG06724	-	10.06	0.000000046	-	COG2814	Carbohydrate transport and metabolism
PA3365	AAG06753	-	7.17	0.0056	-	COG0542	Posttranslational modification, protein turnover, chaperones
PA3370	AAG06758	-	9.79	0.00000012	-	-	-
PA3390	AAG06777	-	14.8	0.00022	-	COG0346	Amino acid transport and metabolism
PA3391	AAG06779	nosR	16.36	4.9E-20	-	COG3901	Transcription
PA3392	AAG06780	nosZ	42.25	3.2E-30	K00376	COG4263	Energy production and conversion
PA3393	AAG06781	nosD	14.02	1.4E-09	K07218	COG3420	Inorganic ion transport and metabolism
PA3394	AAG06782	nosF	9.85	0.0002	K01990	COG1131	Defense mechanisms
PA3396	AAG06784	nosL	15.92	0.0054	-	COG4314	Energy production and conversion
PA3404	AAG06792	-	6.26	0.0043	K12538	COG1538	Cell envelope biogenesis, outer membrane / Intracellular trafficking and secretion
PA3405	AAG06793	hasE	11.41	0.00013	K12537	COG1566	Defense mechanisms
PA3406	AAG06794	hasD	18.58	0.0014	K12536	COG4618	General function prediction only
PA3407	AAG06795	-	133.89	1.5E-54	K12545	-	-
PA3408	AAG06796	hasR	20.26	0.0000076	K16152	COG1629	Inorganic ion transport and metabolism
PA3414	AAG06802	-	6.4	0.000055	-	-	-
PA3415	AAG06803	-	107.92	1.4E-12	K00627	COG0508	Energy production and conversion
PA3416	AAG06804	-	68.35	2E-29	K00162	COG0022	Energy production and conversion
PA3417	AAG06805	-	108.24	3.5E-28	K00161	COG1071	Energy production and conversion
PA3418	AAG06806	-	31.88	0.00003	K00263	COG0334	Amino acid transport and metabolism
PA3429	AAG06817	-	4.9	0.0028	-	COG0596	General function prediction only
PA3430	AAG06818	-	9.85	0.0000002	-	COG0235	Carbohydrate transport and metabolism
PA3431	AAG06819	-	15.5	0.00041	-	COG1346	Cell envelope biogenesis, outer membrane
PA3432	AAG06820	-	10.58	0.0092	K06518	COG1380	General function prediction only
PA3448	AAG06836	-	20.28	0.0031	K15554	COG0600	Inorganic ion transport and metabolism
PA3487	AAG06875	pldA	4.42	0.000027	-	COG1502	Lipid metabolism
PA3530	AAG06918	-	7.22	0.000000013	K02192	COG2906	Inorganic ion transport and metabolism
PA3551	AAG06939	algA	4.1	0.0059	K16011	COG0836	Cell envelope biogenesis, outer membrane
PA3570	AAG06958	mmsA	5.59	0.0033	K00140	COG1012	Energy production and conversion
PA3572	AAG06960	-	5.18	0.0000003	-	-	-
PA3580	AAG06968	-	4.3	0.002	-	COG2606	Function unknown
PA3581	AAG06969	glpF	13.91	0.000075	K02440	COG0580	Carbohydrate transport and metabolism
PA3582	AAG06970	glpK	6.93	0.000013	K00864	COG0554	Energy production and conversion
PA3584	AAG06972	glpD	58.52	1.7E-41	K00111	COG0578	Energy production and conversion
PA3601	AAG06989	-	9.51	0.000045	K02909	COG0254	Translation, ribosomal structure and biogenesis
PA3677	AAG07065	-	4.88	0.0000052	-	COG0845	Cell envelope biogenesis, outer membrane
PA3687	AAG07075	-	4.28	0.0036	K01595	COG2352	Energy production and conversion
PA3692	AAG07080	lptF	80.58	0.00000015	-	COG2885	Cell envelope biogenesis, outer membrane
PA3723	AAG07110	-	15.48	1.5E-15	-	COG1902	Energy production and conversion
PA3762	AAG07149	-	5.33	0.000000075	-	COG3323	Function unknown
PA3773	AAG07160	-	17.24	0.00042	-	-	-
PA3788	AAG07175	-	11.53	2.3E-10	-	-	-
PA3790	AAG07177	oprC	4.76	0.000019	K02014	COG1629	Inorganic ion transport and metabolism
PA3795	AAG07182	-	5.74	0.00000016	-	COG0667	Energy production and conversion
PA3819	AAG07206	-	5.24	0.000000021	-	COG3134	Function unknown
PA3841	AAG07228	exoS	7.07	0.000015	K16635	COG5585	Signal transduction mechanisms
PA3842	AAG07229	-	8.71	0.000000042	-	-	-
PA3843	AAG07230	-	11.99	0.0000071	-	-	-
PA3860	AAG07247	-	5.95	0.0000011	K00666	COG0318	Lipid metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA3874	AAG07261	narH	4.55	0.000014	K00371	COG1140	Energy production and conversion
PA3875	AAG07262	narG	6.13	2.8E-09	K00370	COG5013	Energy production and conversion
PA3876	AAG07263	-	12.9	0.0069	K02575	COG2223	Inorganic ion transport and metabolism
PA3877	AAG07264	-	5.96	0.0000012	K02575	COG2223	Inorganic ion transport and metabolism
PA3888	AAG07275	-	5.12	0.0091	K05846	COG1174	Amino acid transport and metabolism
PA3929	AAG07316	cioB	5.12	0.00092	K00426	COG1294	Energy production and conversion
PA3945	AAG07332	-	5.25	0.00000018	-	COG1670	Translation, ribosomal structure and biogenesis
PA3953	AAG07340	-	17.08	0.000018	-	COG1335	Secondary metabolites biosynthesis, transport, and catabolism
PA4027	AAG07414	-	8.43	0.00000069	K02030	COG0834	Amino acid transport and metabolism / Signal transduction mechanisms
PA4041	AAG07428	-	4.53	0.0021	-	COG4948	Cell envelope biogenesis, outer membrane / General function prediction only
PA4084	AAG07471	-	6.41	0.000052	K07347	COG3188	Cell motility and secretion / Intracellular trafficking and secretion
PA4108	AAG07495	-	12.01	8.7E-15	-	COG2206	Signal transduction mechanisms
PA4132	AAG07519	-	5.31	0.0032	-	COG1167	Transcription / Amino acid transport and metabolism
PA4134	AAG07521	-	12.23	0.0000044	-	-	-
PA4137	AAG07524	-	5.42	0.00062	-	-	-
PA4140	AAG07527	-	10.33	0.00000016	-	COG0277	Energy production and conversion
PA4142	AAG07529	-	10.3	0.0000034	K13408	COG1566	Defense mechanisms
PA4143	AAG07530	-	5.57	0.00015	K13409	COG2274	Defense mechanisms
PA4144	AAG07531	-	18.17	1E-12	K12340	COG1538	Cell envelope biogenesis, outer membrane / Intracellular trafficking and secretion
PA4151	AAG07538	acoB	6.48	0.00031	K00162	COG0022	Energy production and conversion
PA4152	AAG07539	-	7.87	0.000079	K00627	COG0596	General function prediction only
PA4154	AAG07541	-	5.58	0.0047	K07184	COG3103	Signal transduction mechanisms
PA4156	AAG07543	-	5.82	0.000027	K02014	COG1629	Inorganic ion transport and metabolism
PA4158	AAG07545	fepC	19.44	0.00000033	K02013	COG1120	Inorganic ion transport and metabolism / Coenzyme metabolism
PA4181	AAG07568	-	7.57	0.000058	-	COG3382	General function prediction only
PA4183	AAG07570	-	7.5	0.000000027	-	-	-
PA4187	AAG07574	-	4	0.00035	K08368	COG2223	Inorganic ion transport and metabolism
PA4210	AAG07597	-	97.58	0.006	-	-	-
PA4218	AAG07606	-	40.76	2.4E-12	-	-	-
PA4219	AAG07607	-	53.07	1.9E-11	-	COG3182	Function unknown
PA4220	AAG07608	-	29.96	0.00000019	-	-	-
PA4221	AAG07609	fptA	38.61	7E-15	K16088	COG4773	Inorganic ion transport and metabolism
PA4222	AAG07610	-	28.65	3.1E-12	K06147	COG1132	Defense mechanisms
PA4223	AAG07611	-	30.56	3E-13	K06148	COG1132	Defense mechanisms
PA4224	AAG07612	pchG	40.47	0.0000048	K12241	COG4693	Secondary metabolites biosynthesis, transport, and catabolism
PA4225	AAG07613	pchF	47.07	0.000000075	K12240	COG1020	Secondary metabolites biosynthesis, transport, and catabolism
PA4226	AAG07614	pchE	46.87	7.8E-23	K12239	COG1020	Secondary metabolites biosynthesis, transport, and catabolism
PA4227	AAG07615	pchR	7.49	0.00026	K12243	COG2207	Transcription
PA4228	AAG07616	pchD	53.52	4.8E-09	K12238	COG1021	Secondary metabolites biosynthesis, transport, and catabolism
PA4229	AAG07617	pchC	36.79	2.9E-11	K12242	COG3208	Secondary metabolites biosynthesis, transport, and catabolism
PA4230	AAG07618	pchB	54.21	1.3E-19	K04782	COG1605	Amino acid transport and metabolism
PA4231	AAG07619	pchA	28.65	2.6E-14	K01851	COG1169	Coenzyme metabolism / Secondary metabolites biosynthesis, transport, and catabolism
PA4293	AAG07681	pprA	9.78	0.0072	-	COG4191	Signal transduction mechanisms
PA4301	AAG07689	tadB	6.99	0.00074	K12510	COG4965	Intracellular trafficking and secretion
PA4304	AAG07692	rcpA	4	0.0056	K02280	COG4964	Intracellular trafficking and secretion
PA4311	AAG07699	-	27.07	0.00000066	K14335	COG0438	Cell envelope biogenesis, outer membrane
PA4344	AAG07732	-	8.2	1.9E-10	K01451	COG1473	General function prediction only
PA4357	AAG07745	-	20.38	0.000039	K07490	-	-
PA4358	AAG07746	-	10.92	3.9E-13	K04759	COG0370	Inorganic ion transport and metabolism
PA4359	AAG07747	-	54.45	0.000000074	K04758	COG1918	Inorganic ion transport and metabolism
PA4364	AAG07752	-	46.7	2.4E-21	K09964	COG3602	Function unknown
PA4365	AAG07753	-	59.9	4.1E-13	K06895	COG1279	General function prediction only
PA4467	AAG07855	-	13.78	0.000000036	K07238	COG0428	Inorganic ion transport and metabolism
PA4468	AAG07856	sodM	14.93	1.3E-11	K04564	COG0605	Inorganic ion transport and metabolism
PA4469	AAG07857	-	27.56	9.7E-13	-	-	-
PA4470	AAG07858	-	27.46	2.7E-23	K01679	COG0114	Energy production and conversion
PA4471	AAG07859	-	23.65	2.5E-15	-	-	-
PA4475	AAG07863	-	4.06	0.0000069	-	COG0388	General function prediction only
PA4498	AAG07886	-	5.13	0.000001	K01271	COG0006	Amino acid transport and metabolism
PA4523	AAG07911	-	14.47	5.1E-11	-	-	-
PA4553	AAG07941	pilX	4.06	0.00026	K02673	COG4726	Cell motility and secretion / Intracellular trafficking and secretion
PA4570	AAG07958	-	12.55	0.0000067	-	-	-
PA4582	AAG07970	-	7.04	5E-12	-	COG0330	Posttranslational modification, protein turnover, chaperones
PA4583	AAG07971	-	4.89	0.0000017	K14415	COG1690	Function unknown
PA4584	AAG07972	-	5.05	0.000000065	K07074	COG3541	General function prediction only
PA4585	AAG07973	rtcA	5.54	0.00000033	K01974	COG0430	RNA processing and modification
PA4586	AAG07974	-	6.56	0.004	-	-	-
PA4607	AAG07995	-	11.29	4.8E-09	-	-	-
PA4610	AAG07998	-	6.62	1.1E-11	-	-	-
PA4616	AAG08004	-	8.95	0.0000016	-	COG1638	Carbohydrate transport and metabolism
PA4704	AAG08090	cbpA	7.18	0.00000035	-	COG0664	Signal transduction mechanisms
PA4704.1	PA4704.1-1	-	22.56	1.2E-26	-	-	-
PA4704.2	PA4704.2-1	-	13	1.1E-18	-	-	-
PA4708	AAG08094	phuT	7.37	2.8E-09	K02016	COG4558	Inorganic ion transport and metabolism
PA4709	AAG08095	-	8.32	0.000000042	K07225	COG3720	Inorganic ion transport and metabolism
PA4710	AAG08096	phuR	6.28	0.00000098	K16087	COG1629	Inorganic ion transport and metabolism
PA4726.2	PA4726.2-1	-	16.08	5.7E-12	-	-	-
PA4785	AAG08171	-	4.44	0.000075	K00626	COG0183	Lipid metabolism
PA4792	AAG08178	-	4.2	0.000066	K01126	COG0584	Energy production and conversion
PA4805	AAG08191	-	7.22	0.00000088	-	COG0161	Coenzyme metabolism
PA4813	AAG08198	lipC	4.46	0.0042	-	COG1075	General function prediction only
PA4877	AAG08262	-	13.21	0.0058	-	-	-
PA4880	AAG08265	-	11.99	0.0011	K03594	COG2193	Inorganic ion transport and metabolism
PA4883	AAG08268	-	9.28	0.000035	-	COG4117	Energy production and conversion
PA4896	AAG08281	-	10.93	0.00000045	K03088	COG1595	Transcription
PA4898	AAG08283	opdK	11.09	5.7E-14	-	-	-
PA4915	AAG08300	-	4.1	0.000058	K03406	COG0840	Cell motility and secretion / Signal transduction mechanisms
PA4979	AAG08364	-	4.73	0.00063	K00257	COG1960	Lipid metabolism
PA4981	AAG08366	-	14.18	1.2E-09	K02205	COG0833	Amino acid transport and metabolism
PA5030	AAG08415	-	9.8	1.7E-13	K08224	COG2814	Carbohydrate transport and metabolism
PA5033	AAG08418	-	5.96	0.008	-	-	-
PA5099	AAG08484	-	5.22	0.0022	K03457	COG1457	Nucleotide transport and metabolism
PA5100	AAG08485	hutU	8.16	6.1E-10	K01712	COG2987	Amino acid transport and metabolism
PA5106	AAG08491	-	70.73	2.6E-45	K05603	COG0402	Nucleotide transport and metabolism / General function prediction only
PA5171	AAG08556	arcA	10.18	2.9E-18	K01478	COG2235	Amino acid transport and metabolism
PA5172	AAG08557	arcB	11.8	2.1E-11	K00611	COG0078	Amino acid transport and metabolism
PA5173	AAG08558	arcC	4.05	0.00000094	K00926	COG0549	Amino acid transport and metabolism
PA5262	AAG08647	algZ	4.41	0.00000034	K08082	COG2972	Signal transduction mechanisms
PA5266	AAG08651	-	8.38	0.00055	K11904	COG3501	Function unknown
PA5282	AAG08667	-	15	0.0000071	-	-	-
PA5312	AAG08697	-	4.16	0.00000055	K12254	COG1012	Energy production and conversion
PA5354	AAG08739	glcE	6.89	0.00017	K11472	COG0277	Energy production and conversion
PA5355	AAG08740	glcD	4.01	0.0018	K00104	COG0277	Energy production and conversion
PA5372	AAG08757	betA	22.88	6.7E-22	K00108	COG2303	Amino acid transport and metabolism
PA5373	AAG08758	betB	19.79	8.8E-25	K00130	COG1012	Energy production and conversion
PA5374	AAG08759	betI	28.17	1.3E-28	K02167	COG1309	Transcription
PA5375	AAG08760	-	7.63	6.5E-09	K02168	COG1292	Cell envelope biogenesis, outer membrane
PA5383	AAG08768	-	5.37	0.0017	-	COG2855	Function unknown
PA5395	AAG08780	-	10.69	0.0000052	K09958	COG3558	Function unknown
PA5400	AAG08785	-	14.59	0.0013	K03522	COG2025	Energy production and conversion
PA5417	AAG08802	soxD	9.09	0.005	K00304	COG4311	Amino acid transport and metabolism
PA5427	AAG08812	adhA	4.36	0.000000037	K13953	COG1064	General function prediction only
PA5446	AAG08831	-	11.44	0.00000015	-	-	-
PA5468	AAG08853	-	5.74	0.001	K03300	COG2851	Energy production and conversion
PA5482	AAG08867	-	10.15	0.0099	-	-	-
PA5506	AAG08891	-	6.32	0.000046	-	COG1737	Transcription
