LocusId	TranscriptId	GeneName	FoldChange_Burn	Pvalue_Burn	KO_Id	COG_Id	COG_Category
PA5370	AAG08755	-	0.22	0.000023	-	COG2814	Carbohydrate transport and metabolism
PA5406	AAG08791	-	0.21	0.0000054	-	-	-
PA5429	AAG08814	aspA	0.24	0.00000021	K01744	COG1027	Amino acid transport and metabolism
PA5435	AAG08820	-	0.23	0.00000078	K01960	COG5016	Energy production and conversion
PA5464	AAG08849	-	0.24	0.000012	-	-	-
PA5479	AAG08864	gltP	0.24	0.00000026	K11102	COG1301	Energy production and conversion
PA5504	AAG08889	-	0.15	0.000015	K02072	COG2011	Inorganic ion transport and metabolism
PA5505	AAG08890	-	0.17	0.00000029	K02073	COG1464	Inorganic ion transport and metabolism
PA5554	AAG08939	atpD	0.23	0.000000016	K02112	COG0055	Energy production and conversion
PA5555	AAG08940	atpG	0.23	0.000000013	K02115	COG0224	Energy production and conversion
PA5562	AAG08947	-	0.24	0.000000038	K03497	COG1475	Transcription
