LocusId	TranscriptId	GeneName	FoldChange_Chronic	Pvalue_Chronic	KO_Id	COG_Id	COG_Category
PA4311	AAG07699	-	38.03	0.0017	K14335	COG0438	Cell envelope biogenesis, outer membrane
PA4343	AAG07731	-	21.38	0.00074	-	COG2814	Carbohydrate transport and metabolism
PA4358	AAG07746	-	4.76	0.0038	K04759	COG0370	Inorganic ion transport and metabolism
PA4365	AAG07753	-	156	5.5E-11	K06895	COG1279	General function prediction only
PA4467	AAG07855	-	16.32	0.0016	K07238	COG0428	Inorganic ion transport and metabolism
PA4470	AAG07858	-	21.78	0.00000014	K01679	COG0114	Energy production and conversion
PA4471	AAG07859	-	18.09	0.0052	-	-	-
PA4507	AAG07895	-	11.81	0.0056	-	COG1280	Amino acid transport and metabolism
PA4509	AAG07897	-	100.99	1.8E-09	-	COG1984	Amino acid transport and metabolism
PA4522	AAG07910	ampD	4.75	0.0071	K03806	COG3023	Cell envelope biogenesis, outer membrane
PA4613	AAG08001	katB	9.21	0.000022	K03781	COG0753	Inorganic ion transport and metabolism
PA4691	AAG08077	-	8.22	0.0023	-	COG2717	Function unknown
PA4692	AAG08078	-	9.13	0.0000012	K07147	COG2041	General function prediction only
PA4707	AAG08093	-	12.2	0.00000024	K02015	COG0609	Inorganic ion transport and metabolism
PA4708	AAG08094	phuT	8.69	0.0044	K02016	COG4558	Inorganic ion transport and metabolism
PA4785	AAG08171	-	11.51	0.00012	K00626	COG0183	Lipid metabolism
PA4805	AAG08191	-	15.3	0.00014	-	COG0161	Coenzyme metabolism
PA4810	AAG08196	fdnI	7.18	0.00013	K00127	COG2864	Energy production and conversion
PA4820	AAG08205	-	104.31	0.0025	-	-	-
PA4829	AAG08214	lpd3	7.77	0.00019	K00382	COG1249	Energy production and conversion
PA4834	AAG08219	-	19.22	0.00022	-	COG0697	Carbohydrate transport and metabolism / Amino acid transport and metabolism / General function prediction only
PA4836	AAG08221	-	29.45	0.000000001	-	-	-
PA4837	AAG08222	-	65.24	7.4E-24	K02014	COG1629	Inorganic ion transport and metabolism
PA4883	AAG08268	-	45.04	6E-10	-	COG4117	Energy production and conversion
PA4886	AAG08271	-	40.49	1.7E-17	K07644	COG0642	Signal transduction mechanisms
PA4892	AAG08277	ureF	23.68	5.5E-11	K03188	COG0830	Posttranslational modification, protein turnover, chaperones
PA4895	AAG08280	-	31.27	0.0029	-	COG3712	Inorganic ion transport and metabolism / Signal transduction mechanisms
PA4981	AAG08366	-	73.74	3.1E-27	K02205	COG0833	Amino acid transport and metabolism
PA4982	AAG08367	-	14.86	0.0017	-	COG0642	Signal transduction mechanisms
PA5025	AAG08410	metY	5.42	0.0001	K01740	COG2873	Amino acid transport and metabolism
PA5030	AAG08415	-	5.8	0.00046	K08224	COG2814	Carbohydrate transport and metabolism
PA5050	AAG08435	priA	21.58	2.6E-18	K04066	COG1198	DNA replication, recombination, and repair
PA5106	AAG08491	-	19.47	0.000028	K05603	COG0402	Nucleotide transport and metabolism / General function prediction only
PA5159	AAG08544	-	20.9	1.3E-14	K03543	COG1566	Defense mechanisms
PA5160	AAG08545	-	7.95	0.000011	K03446	COG2814	Carbohydrate transport and metabolism
PA5171	AAG08556	arcA	4.32	0.0025	K01478	COG2235	Amino acid transport and metabolism
PA5172	AAG08557	arcB	5.18	0.0033	K00611	COG0078	Amino acid transport and metabolism
PA5189	AAG08574	-	10.79	0.000057	-	COG0583	Transcription
PA5266	AAG08651	-	10.3	0.0029	K11904	COG3501	Function unknown
PA5282	AAG08667	-	20.41	0.000033	-	-	-
PA5353	AAG08738	glcF	21.84	0.0000056	K11473	COG0247	Energy production and conversion
PA5361	AAG08746	phoR	7.76	0.00000099	K07636	COG0642	Signal transduction mechanisms
PA5368	AAG08753	pstC	5.26	0.00003	K02037	COG4590	General function prediction only
PA5372	AAG08757	betA	12.56	0.000011	K00108	COG2303	Amino acid transport and metabolism
PA5373	AAG08758	betB	9.87	0.000000092	K00130	COG1012	Energy production and conversion
PA5374	AAG08759	betI	8.59	0.000025	K02167	COG1309	Transcription
PA5388	AAG08773	-	15.45	0.0083	K02002	COG2113	Amino acid transport and metabolism
PA5392	AAG08777	-	14.74	0.000034	-	COG0251	Translation, ribosomal structure and biogenesis
PA5400	AAG08785	-	88.81	0.000000039	K03522	COG2025	Energy production and conversion
PA5446	AAG08831	-	4.06	0.0033	-	-	-
PA5468	AAG08853	-	28.88	0.000000049	K03300	COG2851	Energy production and conversion
PA5473	AAG08858	-	4.48	0.008	K03324	COG1283	Inorganic ion transport and metabolism
PA5485	AAG08870	-	8.12	0.00001	K11066	COG3023	Cell envelope biogenesis, outer membrane
PA5531	AAG08916	-	5.48	0.0078	K03832	COG0810	Cell envelope biogenesis, outer membrane
PA5532	AAG08917	-	6.93	0.0047	-	COG0523	General function prediction only
PA5534	AAG08919	-	21.16	0.0000051	-	-	-
PA5535	AAG08920	-	19.39	0.00000037	-	COG0523	General function prediction only
PA5536	AAG08921	-	68.94	0.000000001	K06204	COG1734	Signal transduction mechanisms
PA5538	AAG08923	amiA	50.56	2.8E-16	K01448	COG0860	Cell envelope biogenesis, outer membrane
PA5539	AAG08924	-	44.74	0.00000079	K09007	COG1469	Function unknown
PA5540	AAG08925	-	15.93	0.0029	-	COG0663	General function prediction only
PA5541	AAG08926	pyrQ	20.08	0.0012	K01465	COG0044	Nucleotide transport and metabolism
